,age,workclass,fnlwgt,education,education-number,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
2,28,1,336951,7,12,2,9,0,4,1,0,0,40,37,1
7,63,3,104626,14,15,2,8,0,4,1,3103,0,32,37,1
11,36,0,212465,9,13,2,0,0,4,1,0,0,40,37,0
16,20,4,444554,15,10,4,7,3,4,1,0,0,25,37,0
25,45,3,432824,11,9,2,2,0,4,1,7298,0,90,37,1
29,32,3,109282,15,10,4,8,1,4,1,0,0,60,37,0
30,46,4,106444,15,10,2,3,0,2,1,7688,0,38,37,1
31,56,3,186651,1,7,6,7,4,4,0,0,0,50,37,0
32,24,3,188274,9,13,4,10,1,4,1,0,0,50,37,0
33,23,1,258120,15,10,2,9,0,4,1,0,0,40,37,0
36,36,1,403681,9,13,2,8,0,4,1,0,0,40,37,1
41,44,2,120277,8,11,2,10,0,4,1,0,0,45,37,1
44,20,4,138371,15,10,4,4,3,4,1,0,0,32,37,0
49,56,2,131916,11,9,6,3,1,4,0,0,0,50,37,0
57,34,1,382078,9,13,2,3,0,4,1,3103,0,50,37,1
58,42,2,170721,11,9,2,3,0,4,1,5178,0,50,37,1
64,47,1,171807,11,9,0,0,1,4,0,0,0,40,37,0
66,41,2,445382,7,12,2,2,0,4,1,15024,0,60,37,1
77,69,2,174379,11,9,2,10,0,4,1,0,0,30,37,0
80,45,2,67001,15,10,2,6,0,4,1,0,0,50,37,0
84,31,3,113752,15,10,2,2,0,4,1,0,0,50,37,0
86,20,0,244689,1,7,4,7,3,4,0,0,0,10,37,0
88,24,0,228724,15,10,4,1,1,4,1,0,0,40,37,0
91,49,0,77443,5,4,4,7,1,2,1,0,0,20,37,0
93,59,0,98984,9,13,0,0,1,4,1,0,0,40,37,0
103,58,3,301568,6,5,6,7,1,4,0,0,0,40,37,0
104,52,1,155233,11,9,6,0,4,4,0,0,0,28,37,0
106,41,1,201520,11,9,2,9,0,4,1,0,0,40,37,0
120,31,1,198770,9,13,0,8,4,4,0,0,0,60,37,0
126,48,0,42972,10,16,2,8,5,4,0,0,0,40,37,1
128,27,3,115438,11,9,2,2,0,4,1,0,0,60,19,1
133,42,2,100793,10,16,2,8,0,4,1,0,0,41,37,1
143,43,2,214503,11,9,2,3,0,4,1,0,1887,45,37,1
145,47,3,174995,11,9,6,3,1,4,0,0,0,30,37,0
154,40,4,67874,9,13,2,0,0,4,1,0,1887,45,37,1
156,26,1,102264,11,9,4,2,1,4,1,0,0,40,37,0
159,38,2,93225,9,13,0,3,1,4,1,0,0,40,37,0
164,46,4,56841,12,14,2,3,0,4,1,0,0,45,37,1
166,58,3,159021,10,16,2,8,0,4,1,0,0,16,37,1
169,58,1,137249,11,9,0,3,1,4,1,0,0,33,37,0
174,48,1,67229,12,14,5,0,4,2,0,0,0,40,37,0
178,33,2,154227,11,9,2,10,0,4,1,0,0,50,37,1
181,56,2,321529,15,10,2,3,0,4,1,15024,0,40,37,1
197,42,2,240628,14,15,2,8,5,4,0,0,0,50,37,1
200,51,1,174861,15,10,2,9,0,4,1,0,0,40,37,1
201,28,2,142443,9,13,2,3,0,4,1,0,0,50,37,0
203,45,1,185588,9,13,0,8,4,4,0,0,0,40,37,0
205,34,2,34848,9,13,2,10,0,4,1,0,0,54,37,0
207,73,1,143437,11,9,2,3,0,4,1,0,0,20,37,0
212,38,0,213274,8,11,0,2,4,4,0,6497,0,40,37,0
216,33,0,137814,11,9,4,7,1,4,1,0,0,32,37,0
223,52,2,311259,11,9,2,10,0,4,1,0,0,40,37,1
224,63,1,65479,6,5,2,12,0,4,1,7688,0,40,37,1
227,53,1,169719,11,9,2,3,0,4,1,0,0,40,37,0
234,80,3,201092,11,9,2,7,0,4,1,0,0,30,37,0
240,25,1,281412,11,9,4,7,3,4,0,0,0,35,37,0
241,55,3,105239,11,9,2,2,0,4,1,0,2057,60,37,0
243,62,3,177493,15,10,2,12,0,4,1,0,0,32,37,0
244,22,0,104443,15,10,4,0,3,4,0,0,0,20,37,0
249,44,4,138634,11,9,2,6,0,4,1,0,0,40,37,0
256,62,0,57629,15,10,0,11,1,2,1,4650,0,40,37,0
258,30,4,260782,11,9,4,7,1,4,1,0,0,40,37,0
259,72,3,243769,14,15,4,8,1,4,1,0,1429,20,37,0
261,28,1,134890,12,14,4,8,1,4,1,0,0,40,37,0
273,46,4,149337,12,14,4,3,1,4,1,0,0,38,37,0
278,58,2,204021,9,13,2,2,0,4,1,15024,0,50,37,1
280,35,0,413930,11,9,2,2,0,4,1,0,0,40,37,1
288,61,0,512864,15,10,2,12,0,2,1,0,0,40,37,0
298,34,3,163756,8,11,4,4,1,4,1,27828,0,60,37,1
302,38,1,34744,15,10,0,0,4,4,0,0,0,38,37,0
308,42,2,212894,9,13,2,3,0,4,1,0,0,60,37,1
309,51,3,136708,11,9,2,10,0,1,1,3103,0,84,38,0
310,56,1,38573,7,12,2,11,0,4,1,0,0,45,37,1
312,52,3,182796,15,10,2,4,0,4,1,0,0,60,37,0
321,56,2,170287,9,13,2,3,0,4,1,0,0,40,37,0
326,45,1,54038,12,14,0,8,4,4,0,0,0,42,37,0
328,43,3,388725,15,10,2,4,0,4,1,0,0,60,37,1
338,36,2,48063,11,9,2,4,0,4,1,0,0,80,37,0
352,36,1,173542,11,9,0,0,4,4,0,0,0,40,37,0
357,50,3,165001,14,15,2,8,0,4,1,99999,0,80,37,1
358,32,0,149573,7,12,4,9,1,2,1,0,0,40,37,0
363,29,1,400074,15,10,2,3,3,4,0,0,0,40,37,0
365,43,2,209547,14,15,2,8,0,4,1,0,0,25,37,1
367,45,3,355978,15,10,2,10,0,4,1,0,0,60,37,1
368,33,3,48214,12,14,2,8,5,4,0,0,0,8,37,0
373,47,3,194590,9,13,2,10,0,4,1,0,0,44,37,0
374,34,3,198813,11,9,4,2,3,4,1,0,0,45,37,0
380,43,3,126320,11,9,2,3,0,2,1,0,0,40,37,1
382,58,3,112076,10,16,1,3,5,4,0,0,1485,35,37,1
388,62,3,369734,11,9,2,0,5,4,0,0,0,40,37,0
392,48,1,188741,12,14,4,8,1,4,0,0,0,50,37,0
414,42,0,55457,0,6,2,0,0,4,1,0,0,40,24,0
417,37,4,67083,15,10,2,8,2,1,1,0,0,40,0,0
418,54,2,159219,14,15,2,8,0,4,1,99999,0,40,37,1
419,52,2,168539,9,13,4,3,1,4,1,0,0,40,37,0
430,64,2,115931,11,9,2,12,0,4,1,0,0,50,37,0
435,62,3,71467,12,14,2,8,0,4,1,0,0,40,37,0
438,45,3,196858,11,9,2,3,0,4,1,0,0,60,37,0
443,41,3,233150,11,9,2,3,0,4,1,0,0,60,37,0
450,37,4,111275,11,9,2,12,0,4,1,0,0,40,37,0
451,65,3,178878,11,9,2,4,0,4,1,0,0,48,37,0
452,43,0,157237,12,14,2,8,0,4,1,0,0,40,37,1
454,24,4,322658,9,13,4,3,1,4,0,0,0,40,37,0
456,19,1,223326,15,10,4,9,3,4,1,0,1721,35,37,0
460,50,4,196900,11,9,2,7,5,4,0,0,0,39,37,0
463,44,3,98806,5,4,2,2,0,4,1,0,0,38,37,0
464,45,4,226452,11,9,2,7,0,4,1,0,0,40,37,0
465,32,4,479179,1,7,4,9,3,4,1,0,0,40,37,0
466,47,0,471990,12,14,2,3,0,2,1,0,0,40,37,1
473,39,0,149347,12,14,4,8,1,4,1,0,0,40,29,1
475,73,3,151255,15,10,6,4,1,4,0,0,0,75,37,0
494,36,4,291676,6,5,2,2,0,2,1,0,0,40,37,0
499,62,4,312286,14,15,0,8,1,4,0,0,0,35,37,0
500,33,3,48520,15,10,2,2,0,4,1,0,0,40,37,1
502,36,1,237713,15,10,2,11,0,4,1,0,0,40,37,0
504,39,3,37019,11,9,2,2,0,4,1,0,0,60,37,0
508,20,0,163205,8,11,4,0,3,4,0,0,0,36,37,0
509,35,3,455379,11,9,2,12,0,4,1,0,0,65,37,1
519,64,4,107732,3,2,2,4,0,3,1,0,0,45,3,0
521,30,1,176992,11,9,2,12,0,4,1,0,0,50,37,1
522,36,3,84294,9,13,2,4,0,4,1,0,0,72,37,0
524,53,1,139671,15,10,2,3,0,4,1,0,0,50,37,0
527,41,2,240900,1,7,2,3,0,4,1,0,0,40,37,0
531,24,1,238384,9,13,4,8,3,4,0,0,0,37,37,0
534,27,2,214974,11,9,2,2,0,4,1,0,0,60,37,0
549,37,3,191342,11,9,2,2,0,1,1,0,0,60,28,1
552,48,2,72425,9,13,2,2,0,4,1,0,0,50,37,0
555,32,4,33945,9,13,2,4,0,4,1,0,0,40,37,1
556,39,3,199753,9,13,2,7,0,4,1,0,0,60,37,0
562,31,4,195181,12,14,2,8,0,4,1,0,0,35,37,1
567,25,3,121285,9,13,4,10,1,4,0,0,0,40,37,0
568,58,3,25124,8,11,2,4,0,4,1,0,2377,65,37,0
571,41,3,38434,12,14,4,10,1,4,0,0,0,30,37,0
572,53,3,317313,11,9,2,2,0,4,1,0,0,48,37,0
576,28,3,147951,8,11,2,4,0,4,1,0,0,80,37,0
581,37,3,143774,9,13,2,8,5,4,0,0,0,40,10,1
587,44,1,184105,9,13,2,0,0,4,1,5013,0,40,37,0
592,50,1,105788,11,9,5,3,4,2,0,6497,0,35,37,0
593,18,2,352640,15,10,4,0,3,4,0,0,0,20,37,0
597,50,2,155965,15,10,2,10,0,4,1,0,0,55,37,0
598,51,2,335902,15,10,2,2,0,4,1,0,1672,55,37,0
603,67,4,168224,9,13,2,3,0,4,1,0,0,40,37,0
607,32,1,267859,15,10,2,9,0,4,1,0,0,50,4,0
609,33,1,217304,9,13,4,0,1,2,1,0,0,40,37,0
627,33,2,291333,9,13,2,3,0,4,1,7298,0,45,37,1
628,49,3,39140,11,9,2,4,0,4,1,0,0,60,37,0
630,55,3,126840,15,10,0,6,1,4,1,0,0,40,37,0
635,41,4,253250,9,13,2,3,0,4,1,7298,0,40,37,1
638,54,0,201127,12,14,0,3,1,4,1,0,0,42,37,1
642,57,0,223892,9,13,2,3,5,4,0,0,0,40,37,1
643,58,4,191318,12,14,2,3,0,4,1,15024,0,40,37,1
649,26,1,197897,11,9,4,0,3,2,0,0,0,20,8,0
652,50,3,90525,11,9,2,7,5,4,0,15024,0,20,37,1
654,51,1,248327,9,13,2,12,0,2,1,0,0,40,37,1
656,35,0,104858,12,14,2,3,0,4,1,0,0,50,37,1
669,35,2,333636,11,9,2,3,0,2,1,0,0,75,37,0
672,25,0,198813,9,13,4,0,4,2,0,0,1590,40,37,0
673,59,1,240030,14,15,2,3,0,4,1,0,0,40,37,1
679,48,1,67716,12,14,2,8,0,4,1,7688,0,50,37,1
680,60,3,121076,10,16,0,10,1,4,1,0,0,20,37,0
681,33,3,182556,2,8,4,12,1,4,1,0,0,40,37,0
685,38,0,318912,8,11,0,0,3,2,1,0,0,52,37,0
686,58,3,237546,15,10,2,3,0,4,1,0,0,70,37,1
689,22,1,198478,15,10,2,9,0,4,1,0,0,40,37,0
698,44,1,159449,15,10,2,9,0,4,1,0,0,80,37,1
